cbn_collection_name,cbn_collection_code,mda_code,cbn_internal_account_number,nuban,authorized,status,created_by,created_date,last_modified_by,last_modified_date,version
FEES | OTHER/SUNDRY FEES,0517019018000-C0039-P00359,0517019018000,0200100761016,3000050663,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | TRANSCRIPT FEES,0517019018000-C0050-P10153,0517019018000,0200100761016,3000050663,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0517021009000-C0039-P12056,0517021009000,0080217961018,3000050838,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0517021009000-C0039-P12057,0517021009000,0080217961018,3000050838,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0517021009000-C0039-P12058,0517021009000,0080217961018,3000050838,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0517021015000-C0037-P04488,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0517021015000-C0037-P12059,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0517021015000-C0039-P12060,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0517021015000-C0039-P12061,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | WORKSHOP/CONFERENCE/TRAINING FEES,0517021015000-C0054-P10140,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
GRANTS/DONATIONS | DONATION,0517021015000-C0056-P02252,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
REFUNDS | OTHER REFUNDS,0517021015000-C0101-P07398,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
REFUNDS | OTHER REFUNDS,0517021015000-C0101-P11663,0517021015000,0030053465028,3000133807,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | TENDER FEES,0535012001000-C0046-P09949,0535012001000,0020054161175,3000066875,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0156001001001-C0039-P07470,0156001001001,0020106565016,3000112648,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0215028001000-C0037-P12055,0215028001000,0230539165110,3000132381,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
INSURANCE | NHIS - CAPITATION,0521026005000-C0062-P11587,0521026005000,0060216665028,3000125639,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521026011000-C0037-P05964,0521026011000,0130215961018,3000048174,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521026011000-C0037-P10046,0521026011000,0130215961018,3000048174,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521027015000-C0037-P02102,0521027015000,0060054061016,3000048363,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521027015000-C0037-P12062,0521027015000,0060054061016,3000048363,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521027015000-C0037-P12063,0521027015000,0060054061016,3000048363,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0123031008000-C0039-P08238,0123031008000,0020054161175,3000066875,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0123031008000-C0039-P12064,0123031008000,0020170142011,3000044578,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0123031008000-C0039-P12065,0123031008000,0020170142011,3000044578,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | OTHER/SUNDRY FEES,0123031008000-C0039-P12066,0123031008000,0020170142011,3000044578,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | TENDER FEES,0123031008000-C0046-P09949,0123031008000,0020054161175,3000066875,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
OTHER/SUNDRY INCOME | MISCELLANEOUS SALES,0123031008000-C0094-P08786,0123031008000,0020054161175,3000066875,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
OTHER/SUNDRY INCOME | OTHER/SUNDRY INCOME,0123031008000-C0097-P03178,0123031008000,0020170142011,3000044578,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
REFUNDS | OTHER REFUNDS,0123031008000-C0101-P07389,0123031008000,0020054161043,3000047706,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
SALE OF GOVERNMENT ASSETS | SALE OF GOVERNMENT ASSET,0123031008000-C0114-P08681,0123031008000,0020054161175,3000066875,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
INSURANCE | NHIS - CAPITATION,0326009000000-C0062-P00980,0326009000000,0020158961017,3000056438,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
INSURANCE | NHIS - CAPITATION,0521026004000-C0062-P11587,0521026004000,0060216665028,3000125639,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
APPROPRIATIONS | SUNDRY APPROPRIATION,0521027054000-C0016-P10263,0521027054000,0360052365011,3000130930,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
FEES | MEDICAL FEES,0521027054000-C0037-P00376,0521027054000,0360052365011,3000130930,1,1,system.auto,11/09/2025 19:23,NULL,16/09/2025 11:53,0
