Trans Ref,0 - MERCHANT,1 - MERCHANT THIRD PARTY,2 -CREDO,3 - CREDO THIRD PARTY,4 - PROCESSOR,5 - STAMP DUTY,Settled Amount,Fee Amount,Fee Diff,Expected Credo commision
rBX500cBeq028f1862z5,77950,,575,460,125,50,78000,700,460,115
t07Y001Lz002Bb6p827T,6900,6050,214.59,106,107.91,50,13000,322.5,106,108.59
Ag6000TNcl02KKzU820x,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
Tn0v00xGfT02IyuJ82dN,,2000,197.5,70,125,,2000,322.5,70,127.5
vsN900mun402Myr0824V,44370,125580,322.5,106,,50,170000,322.5,106,216.5
QF5s00Vdxu0270In82xy,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
I3Ea007S4A025wKE82R9,,2000,303.69,70,18.81,,2000,322.5,70,233.69
hBgH00P5P80249yW82QK,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
KdAG00u2h302qWrx8284,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
kHy8005dha02E9Oi820g,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
t69L003oQd02F1I182yQ,,2000,197.5,70,125,,2000,322.5,70,127.5
qU7000lFZD02vQ6Y82ei,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
w9uD00Wghe02jqg262JW,107950,,700,460,,50,108000,700,460,240
s5JY009Evb02ro5E6282,77950,,700,460,,50,78000,700,460,240
YXZx00Eggd02V7sF62mE,5000,,700,460,,,5000,700,460,240
shvl008hG400jJ6C126T,14950,,375,245,125,50,15000,500,245,130
BvAC00aB0H02XBLy8229,13250,84700,197.5,70,125,50,98000,322.5,70,127.5
J1MB00bhvh010HfX82X1,113450,,375,275,125,50,113500,500,275,100
maEn00a6c101K9Sw82mS,113450,,375,275,125,50,113500,500,275,100
tEk100mf0901fH6r825l,158450,,375,275,125,50,158500,500,275,100
Oh17004gS002hhj382G3,,14950,198.39,70,124.11,50,15000,322.5,70,128.39
PANt006qj100VFtp12dk,14950,,375,245,125,50,15000,500,245,130
NtTc00XXFO01st6Y82A2,57450,,375,275,125,50,57500,500,275,100
ioZD007Yke020gE4824U,82170,54780,197.5,106,125,50,137000,322.5,106,91.5
ss0V00BA5Q02f2kd828r,,29950,197.5,106,125,50,30000,322.5,106,91.5
UFLu00u87Q0292eq82RS,,2000,197.5,70,125,,2000,322.5,70,127.5
irWz00t15m022jJ582hE,,14950,198.39,70,124.11,50,15000,322.5,70,128.39
gTy300lXX202MX1i82wj,35250,22450,322.5,70,,50,57750,322.5,70,252.5
Uag000eU3f02i4iv82Oq,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ljE300gGYJ02rrT082BV,14950,,322.5,70,,50,15000,322.5,70,252.5
w06o00Jvp002oAbq826Y,14950,,197.5,70,125,50,15000,322.5,70,127.5
Gi8d006ohF02XSfY82P5,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
